OBJECTID,CNN,CNNTEXT,ST_NAME1,ST_TYPE1,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,point
1744,21190000,21190000,ANDOVER,ST,OGDEN,AVE, , , , ,1225,0,0,0,14,197809,1751,0,0,POINT (-122.41671751681776 37.73607433029418)
1401,20623000,20623000,MADDUX,AVE,SCOTIA,AVE, , , , ,1344,0,0,0,24,139387,1378,0,0,POINT (-122.40002161617922 37.732310523512055)
7482,23931000,23931000,HARRISON,ST,MERLIN,ST, , , , ,4664,0,0,0,5,1810830,1503,0,0,POINT (-122.40238482599263 37.778604290690446)
5329,23569000,23569000,18TH,ST,ILLINOIS,ST, , , , ,645,0,1,0,14,1042889,256,0,0,POINT (-122.38779479602333 37.76310721719889)
883,21691000,21691000,AVALON,AVE,LISBON,ST, , , , ,514,0,0,0,7,211448,1525,0,0,POINT (-122.43016970049644 37.72654377814063)
7064,24397000,24397000,BRADY,ST,STEVENSON,ST, , , , ,36949,0,0,0,2,2320289,2214,0,0,POINT (-122.42077450092013 37.773164686615864)
4035,25734000,25734000,NOE,ST,CLIPPER,ST, , , , ,4103,0,0,0,7,424718,3269,0,0,POINT (-122.43163957965918 37.74902821398124)
8067,25130000,25130000,TAYLOR,ST,PACIFIC,AVE, , , , ,3179,0,0,1,9,496043,6450,1,4.03000021,POINT (-122.41336618316247 37.79608355196433)
3088,23716000,23716000,25TH,ST,SAN BRUNO,AVE, , , , ,3444,0,0,0,1,301029,1402,0,0,POINT (-122.40424179212027 37.751844928989165)
417,23045000,23045000,GRIJALVA,DR,JUAN BAUTIST,CIR, , , , ,1122,1,0,0,12,611053,1884,0,0,POINT (-122.47811290967987 37.71748409724994)
1118,23325000,23325000,HARDING,RD,SKYLINE,BLVD, , , , ,302,0,0,1,4,302496,0,1,6.61000013,POINT (-122.50250193753463 37.72664518201102)
7249,25274000,25274000,LEAVENWORTH,ST,PACIFIC,AVE, , , , ,1593,0,0,0,37,550663,6067,0,0,POINT (-122.41665275441046 37.79567005114693)
2638,22284000,22284000,BERKELEY,WAY,CRAGS,CT, , , , ,520,0,0,0,11,113368,789,0,0,POINT (-122.43952083036201 37.740356937974134)
4443,32852000,32852000,CONCOURSE,DR,UNNAMED 136,0, , , , ,535,0,0,0,34,353534,276,0,0,POINT (-122.46801747904365 37.769206756715576)
2932,20708000,20708000,CESAR CHAVEZ,ST,INDIANA,ST, , , , ,295,0,1,0,23,1091269,17,0,0,POINT (-122.39043303768976 37.7501183419891)
326,20379000,20379000,MCCARTHY,AVE,ARGONAUT,AVE, , , , ,1161,0,0,0,10,341726,1147,0,0,POINT (-122.4139025177869 37.71063119686398)
6508,25547000,25547000,ROCKLAND,ST,EASTMAN,ST, , , , ,642,0,0,0,24,270196,4841,0,0,POINT (-122.42002160806913 37.798771730308765)
3474,27005000,27005000,FRANCISCO,ST,BAKER,ST, , , , ,5596,0,0,0,8,497293,3462,0,0,POINT (-122.44634836229622 37.8004864876233)
7918,25170000,25170000,GEARY,ST,LARKIN,ST, , , , ,3129,0,0,0,6,33814954,11627,1,0.06,POINT (-122.41808809744094 37.786101039913994)
6042,26062000,26062000,PIERCE,ST,GOLDEN GATE,AVE, , , , ,497,0,1,0,12,1114027,3748,0,0,POINT (-122.43524101207902 37.7791448783938)
3316,27379000,27379000,23RD,AVE,ORTEGA,ST, , , , ,1073,0,0,0,8,218559,1215,0,0,POINT (-122.48062887970464 37.75218735694449)
7702,21781000,21781000,ALEMANY,BLVD,SILVER,AVE, , , , ,791,0,1,0,15,993482,1115,0,0,POINT (-122.43338684399944 37.72977557605232)
7120,25782000,25782000,LIBERTY,ST,SANCHEZ,ST, , , , ,5271,0,0,0,4,126278,2360,0,0,POINT (-122.43067849551103 37.75712500554046)
